appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
10,Counter-Strike,"2000-11-01 00:00:00",1,Valve,Valve,windows;mac;linux,0,"Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled",Action,Action;FPS;Multiplayer,0,124534,3339,17612,317,10000000-20000000,7.19
60,Ricochet,"2000-11-01 00:00:00",1,Valve,Valve,windows;mac;linux,0,"Multi-player;Online Multi-Player;Valve Anti-Cheat enabled",Action,Action;FPS;Multiplayer,0,2758,684,175,10,5000000-10000000,3.99
